id,elo_overall,match_number
arthur de greef-be-92,1568,0
scott oudsema-un-86,1568,0
roman valent-sw-83,1568,0
sung kyun kang-so-81,1567,0
gonzalo tur-ar-88,1567,0
yong bum seo-so-83,1566,0
oscar burrieza-sp-75,1566,0
mark nielsen-ne-77,1566,0
nicolas santos-br-88,1566,0
rainer eitzinger-au-83,1565,0
christian lindell-sw-91,1565,0
daniel alejandro lopez cassaccia-pa-89,1565,0
patrick taubert-ge-87,1564,0
henrique cunha-br-90,1564,0
fabrice martin-fr-86,1564,0
nicolas renavand-fr-82,1564,0
yan bai-ch-89,1564,0
sergei krotiouk-ru-78,1563,0
joshua goodall-gr-85,1563,0
dejan katic-se-88,1563,0
nenad zimonjic-se-76,1563,0
abdullah maqdas-ku-87,1563,0
pablo martin adalia-sp-88,1562,0
alexandre renard-fr-82,1562,0
carles poch gradin-sp-82,1562,0
toshihide matsui-ja-78,1562,0
adriano biasella-it-80,1562,0
dimitar kutrovsky-bu-87,1562,0
cedrik marcel stebe-ge-90,1561,0
antal van der duim-ne-87,1561,0
roberto marcora-it-89,1561,0
florin mergea-ro-85,1561,0
lado chikhladze-ge-85,1561,0
fritz wolmarans-so-86,1560,0
johan ortegren-sw-78,1560,0
george bastl-sw-75,1560,0
roberto maytin-ve-89,1560,0
javier marti-sp-92,1560,0
dominic inglot-gr-86,1560,0
marcus willis-gr-90,1560,0
federico torresi-it-80,1559,0
jeremy blandin-fr-81,1559,0
dayne kelly-au-90,1558,0
tasuku iwami-ja-78,1558,0
todor enev-bu-82,1558,0
mehdi ziadi-mo-86,1558,0
alejandro kon-ar-86,1557,0
hsin han lee-ch-88,1557,0
conor pollock-un-87,1556,0
eduardo struvay-co-90,1556,0
marek michalicka-cz-86,1556,0
holden seguso-un-88,1556,0
gilles de sousa-fr-82,1556,0
harsh mankad-in-79,1556,0
mikhail vasiliev-ru-86,1556,0
axel michon-fr-90,1556,0
vladimir karusevich-ru-90,1556,0
nicolas jara lozano-ar-86,1555,0
uros vico-it-81,1555,0
byung kook kang-so-79,1555,0
federico sansonetti-ur-86,1555,0
filip polasek-sl-85,1555,0
miloslav mecir-sl-64,1554,0
dmytro petrov-uk-87,1554,0
mauricio estivariz-bo-86,1553,0
hector ruiz cadenas-sp-83,1553,0
luka belic-cr-88,1553,0
erling tveit-no-84,1553,0
julien obry-fr-91,1553,0
denis kudla-un-92,1552,0
amir hadad-is-78,1552,0
raian luchici-ro-84,1552,0
yann marti-sw-88,1552,0
matt reid-au-90,1552,0
facundo arguello-ar-92,1552,0
evgeny donskoy-ru-90,1551,0
kepler orellana-ve-77,1551,0
chris eaton-gr-87,1550,0
guillermo duran-ar-88,1550,0
david skoch-cz-76,1550,0
ken skupski-gr-83,1550,0
luca vanni-it-85,1550,0
tim goransson-sw-88,1550,0
jean claude scherrer-sw-78,1550,0
luis diaz barriga-me-86,1550,0
kristian pless-de-81,1549,0
sergei bubka-uk-87,1549,0
maxime teixeira-fr-89,1549,0
nima roshan-au-85,1549,0
tihomir grozdanov-bu-87,1549,0
woong sun jun-so-86,1549,0
julian knowle-au-74,1549,0
danila arsenov-ru-89,1549,0
steven moneke-ge-86,1549,0
alexander lobkov-ru-90,1548,0
harri heliovaara-fi-89,1548,0
jose maria vicente-sp-77,1548,0
daniel danilovic-sw-88,1548,0
felipe parada-ch-81,1548,0
ze zhang-ch-90,1548,0
mikhail ledovskikh-ru-86,1547,0
guillermo carry-ar-81,1547,0
romano tatuhey-ne-85,1547,0
todd widom-un-83,1547,0
alexander slabinsky-gr-86,1547,0
matthew roberts-un-84,1547,0
daniel yoo-so-85,1546,0
gaston giussani-ar-86,1546,0
marco viola-it-83,1546,0
piotr gadomski-po-91,1546,0
roy kalmanovich-un-89,1545,0
alberto giraudo-it-83,1545,0
mikhail fufygin-ru-90,1544,0
marc steger-fr-81,1544,0
florian reynet-fr-86,1544,0
clement morel-mo-84,1543,0
daniel cox-gr-90,1543,0
alexander farquharson-gr-84,1543,0
nikolaus moser-au-90,1542,0
andrea collarini-ar-92,1542,0
brendan mckenzie-au-90,1542,0
filippo leonardi-it-87,1542,0
